name,date (yyyy_mm_dd_hh_mm_ss),tag 1,tag 2,tag 3,tag 4
walking_shoes_002.jpg,2018_09_17_11_49_01,shoes,indoor,food,
walking_shoes_003.jpg,2018_09_17_12_06_53,shoes,indoor,elevator,
walking_shoes_004.jpg,2018_09_17_15_34_08,shoes,indoor,talk,
walking_shoes_005.jpg,2018_09_17_15_38_22,shoes,indoor,elevator,
walking_shoes_006.jpg,2018_09_17_15_48_31,shoes,indoor,talk,
walking_shoes_007.jpg,2018_09_18_10_48_00,shoes,indoor,elevator,
walking_shoes_008.jpg,2018_09_18_12_08_59,shoes,indoor,class,
walking_shoes_009.jpg,2018_09_18_13_19_19,shoes,indoor,class,
walking_shoes_010.jpg,2018_09_18_14_50_07,shoes,outdoor,bus,
walking_shoes_011.jpg,2018_09_18_20_27_44,shoes,indoor,talk,
walking_shoes_012.jpg,2018_09_18_20_32_51,shoes,indoor,food,
walking_shoes_013.jpg,2018_09_19_11_34_14,shoes,indoor,elevator,
walking_shoes_014.jpg,2018_09_19_11_49_09,shoes,indoor,food,
walking_shoes_015.jpg,2018_09_19_13_12_32,shoes,indoor,brush,
walking_shoes_016.jpg,2018_09_19_16_06_19,shoes,indoor,talk,
walking_shoes_017.jpg,2018_09_19_18_44_12,shoes,indoor,elevator,
walking_shoes_018.jpg,2018_09_19_18_52_47,shoes,indoor,food,
walking_shoes_019.jpg,2018_09_19_22_06_02,shoes,indoor,elevator,
walking_shoes_020.jpg,2018_09_20_01_15_23,shoes,indoor,laundry,
walking_shoes_021.jpg,2018_09_20_10_53_14,shoes,indoor,elevator,
walking_shoes_022.jpg,2018_09_20_13_04_55,shoes,outdoor,bus,
walking_shoes_023.jpg,2018_09_20_19_02_16,shoes,indoor,call,
walking_shoes_024.jpg,2018_09_20_19_20_48,shoes,outdoor,talk,
walking_shoes_025.jpg,2018_09_21_12_28_08,shoes,indoor,elevator,
walking_shoes_026.jpg,2018_09_21_12_49_43,shoes,indoor,food,
walking_shoes_027.jpg,2018_09_21_16_33_52,shoes,indoor,elevator,
walking_shoes_028.jpg,2018_09_21_19_50_59,shoes,indoor,food,
walking_shoes_029.jpg,2018_09_21_19_57_03,shoes,indoor,elevator,
walking_shoes_030.jpg,2018_09_21_22_52_41,shoes,indoor,talk,
walking_shoes_031.jpg,2018_09_22_07_14_30,shoes,indoor,elevator,
walking_shoes_032.jpg,2018_09_22_07_20_56,shoes,indoor,talk,
walking_shoes_033.jpg,2018_09_22_07_28_23,shoes,indoor,food,
walking_shoes_034.jpg,2018_09_22_09_02_41,shoes,indoor,call,
walking_shoes_035.jpg,2018_09_22_10_23_08,shoes,indoor,elevator,
walking_shoes_036.jpg,2018_09_22_11_24_34,shoes,outdoor,talk,
walking_shoes_037.jpg,2018_09_22_11_45_15,shoes,outdoor,trash,
walking_shoes_038.jpg,2018_09_22_14_52_01,shoes,indoor,talk,
walking_shoes_039.jpg,2018_09_22_14_54_29,shoes,indoor,talk,
walking_shoes_040.jpg,2018_09_22_15_08_12,shoes,indoor,elevator,
walking_shoes_041.jpg,2018_09_22_16_19_58,shoes,outdoor,bus,
walking_shoes_042.jpg,2018_09_22_18_01_41,shoes,outdoor,frisbee,
walking_shoes_043.jpg,2018_09_22_18_02_52,shoes,indoor,laundry,
walking_shoes_044.jpg,2018_09_23_08_12_19,shoes,indoor,call,
walking_shoes_045.jpg,2018_09_23_08_14_48,shoes,outdoor,think,
walking_shoes_046.jpg,2018_09_23_09_20_14,shoes,outdoor,talk,
walking_shoes_047.jpg,2018_09_23_09_40_50,shoes,outdoor,light,
